ts,open,high,low,close,volume,taker_buy_volume,taker_sell_volume,delta,ratio,cum_delta,taker_total,taker_ratio_to_volume,close_pct_change,price_change,price_rolling_max,price_rolling_min,delta_rolling_max,delta_rolling_min
2026-01-06 02:05:00,3207.21,3209.83,3201.25,3201.25,15734.958999999999,8914.404,6820.555,2093.849,1.3069909999992668,41501.687000000005,15734.959,1.0000000000000002,-0.18583129885476612,-5.960000000000036,3211.95,3163.84,34055.422999999995,-9427.631999999998
2026-01-06 02:10:00,3201.25,3209.5,3200.97,3209.49,8971.305,6138.674,2832.631,3306.043,2.167128016321222,44807.73,8971.305,1.0,0.257399453338536,8.239999999999782,3211.95,3165.0,34055.422999999995,-4260.965
2026-01-06 02:15:00,3209.5,3210.43,3193.68,3196.66,23863.272,9667.3,14195.972,-4528.6720000000005,0.6809889453149104,40279.058000000005,23863.271999999997,0.9999999999999999,-0.39975198551794877,-12.840000000000146,3211.95,3173.29,34055.422999999995,-4528.6720000000005
2026-01-06 02:20:00,3196.67,3198.57,3185.18,3196.97,46632.21,12984.534,33647.676,-20663.142,0.38589690414280026,19615.916000000005,46632.21,1.0,0.009697621892845731,0.29999999999972715,3211.95,3179.3,34055.422999999995,-20663.142
2026-01-06 02:25:00,3196.97,3203.31,3196.96,3199.77,16342.907000000001,9629.588,6713.319,2916.2689999999993,1.434400480596855,22532.185000000005,16342.907,0.9999999999999999,0.08758293008692686,2.800000000000182,3211.95,3186.03,34055.422999999995,-20663.142
2026-01-06 02:30:00,3199.76,3205.5,3198.45,3200.2,7184.594,4075.46,3109.134,966.326,1.3108023005763019,23498.511000000006,7184.594,1.0,0.013438465889725748,0.4399999999995998,3211.95,3191.44,34055.422999999995,-20663.142
2026-01-06 02:35:00,3200.2,3201.0,3190.41,3193.16,22165.646,4385.159,17780.487,-13395.328000000001,0.24662760924377378,10103.183000000005,22165.646,1.0,-0.21998625085931645,-7.039999999999964,3211.95,3193.16,34055.422999999995,-20663.142
2026-01-06 02:40:00,3193.17,3201.0,3193.01,3200.4,4562.835,2793.501,1769.334,1024.1670000000001,1.578843225756132,11127.350000000004,4562.835,1.0,0.2267346453043384,7.230000000000018,3211.95,3193.16,11864.614000000001,-20663.142
2026-01-06 02:45:00,3200.4,3208.33,3199.57,3207.76,9803.805,5332.344,4471.461,860.8829999999998,1.1925283481170919,11988.233000000004,9803.805,1.0,0.2299712535932974,7.360000000000127,3209.49,3193.16,3306.043,-20663.142
2026-01-06 02:50:00,3207.76,3217.83,3204.58,3216.71,21472.985,15206.018,6266.967,8939.051,2.426375948684587,20927.284000000003,21472.985,1.0,0.27901089857096384,8.949999999999818,3216.71,3193.16,8939.051,-20663.142
2026-01-06 02:55:00,3216.71,3228.0,3214.97,3226.65,33307.507,21303.846,12003.661,9300.185000000001,1.774779044493176,30227.469000000005,33307.507,1.0,0.30901138119383553,9.940000000000055,3226.65,3193.16,9300.185000000001,-20663.142
2026-01-06 03:00:00,3226.65,3227.42,3216.6,3218.03,21467.653,7045.798,14421.855,-7376.057,0.48855005129367896,22851.412000000004,21467.653,1.0,-0.26715014023832584,-8.61999999999989,3226.65,3193.16,9300.185000000001,-20663.142
2026-01-06 03:05:00,3218.03,3221.55,3213.8,3221.12,11438.985999999999,5096.61,6342.376,-1245.7660000000005,0.803580550885031,21605.646000000004,11438.986,1.0000000000000002,0.09602147897935787,3.0899999999996908,3226.65,3193.16,9300.185000000001,-20663.142
2026-01-06 03:10:00,3221.12,3224.15,3219.08,3219.59,6446.992,3252.581,3194.411,58.17000000000007,1.0182099297804823,21663.816000000006,6446.992,1.0,-0.04749900655671713,-1.5299999999997453,3226.65,3193.16,9300.185000000001,-13395.328000000001
2026-01-06 03:15:00,3219.6,3224.01,3214.08,3220.4,9346.929,4453.738,4893.191,-439.4529999999995,0.9101909163161627,21224.363000000005,9346.929,1.0,0.025158482912424063,0.8000000000001819,3226.65,3193.16,9300.185000000001,-13395.328000000001
2026-01-06 03:20:00,3220.41,3225.0,3218.25,3219.1,6461.468,3235.986,3225.482,10.503999999999905,1.0032565675455638,21234.867000000006,6461.468,1.0,-0.040367656191786505,-1.3099999999999454,3226.65,3193.16,9300.185000000001,-13395.328000000001
2026-01-06 03:25:00,3219.1,3224.86,3217.54,3221.64,6250.341,3187.606,3062.735,124.8710000000001,1.0407710755256332,21359.738000000005,6250.341,1.0,0.07890404150228125,2.5399999999999636,3226.65,3200.4,9300.185000000001,-7376.057
2026-01-06 03:30:00,3221.63,3225.0,3218.54,3224.25,5944.491,3161.055,2783.436,377.6189999999997,1.135666492780865,21737.357000000004,5944.491,1.0,0.08101463850709312,2.619999999999891,3226.65,3207.76,9300.185000000001,-7376.057
2026-01-06 03:35:00,3224.25,3225.0,3214.55,3214.89,9180.565999999999,3856.034,5324.532,-1468.498,0.7242014885064078,20268.859000000004,9180.566,1.0000000000000002,-0.2903000697836777,-9.360000000000127,3226.65,3214.89,9300.185000000001,-7376.057
2026-01-06 03:40:00,3214.89,3219.07,3212.95,3218.02,9005.17,4030.277,4974.893,-944.616,0.8101233534067969,19324.243000000002,9005.17,1.0,0.09735947419662327,3.130000000000109,3226.65,3214.89,9300.185000000001,-7376.057
2026-01-06 03:45:00,3218.02,3219.07,3215.01,3218.57,3413.768,1124.527,2289.241,-1164.714,0.49122263667302835,18159.529000000002,3413.768,1.0,0.017091254871015593,0.5500000000001819,3224.25,3214.89,377.6189999999997,-7376.057
2026-01-06 03:50:00,3218.56,3218.57,3213.28,3216.42,8141.548000000001,5269.042,2872.506,2396.5360000000005,1.8343014775251996,20556.065000000002,8141.548000000001,1.0,-0.06679985210823469,-2.1399999999998727,3224.25,3214.89,2396.5360000000005,-1468.498
2026-01-06 03:55:00,3216.41,3223.36,3216.2,3221.59,4706.383,2535.09,2171.293,363.797,1.1675485528668863,20919.862,4706.383,1.0,0.16073771460194397,5.180000000000291,3224.25,3214.89,2396.5360000000005,-1468.498
2026-01-06 04:00:00,3221.58,3245.52,3218.31,3236.25,77950.692,58759.759,19190.933,39568.826,3.061850041371099,60488.688,77950.692,1.0,0.4550548021318601,14.670000000000073,3236.25,3214.89,39568.826,-1468.498
2026-01-06 04:05:00,3236.26,3239.03,3233.33,3233.74,18740.498,9124.608,9615.89,-491.28199999999924,0.9489093573241791,59997.406,18740.498,1.0,-0.07755890305137791,-2.5200000000004366,3236.25,3214.89,39568.826,-1468.498
2026-01-06 04:10:00,3233.73,3237.11,3229.46,3236.0,11932.638,4704.518,7228.12,-2523.602,0.6508632950200052,57473.804000000004,11932.637999999999,0.9999999999999999,0.06988811716466259,2.269999999999982,3236.25,3214.89,39568.826,-2523.602
2026-01-06 04:15:00,3235.99,3241.62,3232.01,3234.62,11631.214,6287.199,5344.015,943.1839999999993,1.1764935165788268,58416.988000000005,11631.214,1.0,-0.04264524103831935,-1.3699999999998909,3236.25,3214.89,39568.826,-2523.602
2026-01-06 04:20:00,3234.62,3237.3,3230.0,3236.74,5393.705,2732.192,2661.513,70.67900000000009,1.0265559476884014,58487.667,5393.705,1.0,0.065540929073582,2.119999999999891,3236.74,3214.89,39568.826,-2523.602
2026-01-06 04:25:00,3236.75,3265.0,3236.74,3259.63,82949.704,54148.827,28800.877,25347.949999999997,1.8801103521951779,83835.617,82949.704,1.0,0.7071930399105364,22.88000000000011,3259.63,3216.42,39568.826,-2523.602
2026-01-06 04:30:00,3259.63,3259.63,3241.11,3244.8,31604.17,14608.347,16995.823,-2387.4760000000006,0.8595257199371868,81448.141,31604.17,1.0,-0.45495961198049883,-14.829999999999927,3259.63,3216.42,39568.826,-2523.602
2026-01-06 04:35:00,3244.8,3250.0,3240.0,3250.0,14441.348,9393.0,5048.348,4344.652,1.8606086585156174,85792.793,14441.348,1.0,0.1602564102564097,5.199999999999818,3259.63,3216.42,39568.826,-2523.602
2026-01-06 04:40:00,3250.0,3250.7,3237.28,3242.27,20208.951999999997,10525.302,9683.65,841.652,1.0869147480547108,86634.445,20208.951999999997,1.0,-0.23784615384615515,-7.730000000000018,3259.63,3221.59,39568.826,-2523.602
2026-01-06 04:45:00,3242.27,3246.5,3239.41,3243.0,13504.586,3885.43,9619.156,-5733.726000000001,0.4039262904146683,80900.71900000001,13504.586000000001,1.0000000000000002,0.022515089736518945,0.7300000000000182,3259.63,3233.74,39568.826,-5733.726000000001
2026-01-06 04:50:00,3243.05,3244.38,3237.45,3237.45,9785.645999999999,5063.737,4721.909,341.82800000000043,1.0723919075950004,81242.547,9785.646,1.0000000000000002,-0.1711378353376536,-5.600000000000364,3259.63,3233.74,25347.949999999997,-5733.726000000001
2026-01-06 04:55:00,3237.45,3240.74,3232.25,3240.45,16027.670999999998,8641.687,7385.984,1255.7029999999995,1.1700116057657313,82498.25,16027.671,1.0000000000000002,0.09266552379187942,3.0,3259.63,3234.62,25347.949999999997,-5733.726000000001
2026-01-06 05:00:00,3240.46,3247.23,3239.17,3244.14,8319.941,4395.628,3924.313,471.3149999999996,1.1201012763253082,82969.565,8319.940999999999,0.9999999999999998,0.11387307318428963,3.6799999999998363,3259.63,3234.62,25347.949999999997,-5733.726000000001
2026-01-06 05:05:00,3244.13,3244.86,3234.64,3235.99,10620.325,3328.671,7291.654,-3962.9830000000006,0.4565042444416589,79006.582,10620.325,1.0,-0.2512222037273415,-8.140000000000327,3259.63,3235.99,25347.949999999997,-5733.726000000001
2026-01-06 05:10:00,3235.99,3238.1,3234.15,3235.34,7369.6990000000005,4869.279,2500.42,2368.8590000000004,1.9473844394141786,81375.44099999999,7369.6990000000005,1.0,-0.02008658864828261,-0.6499999999996362,3259.63,3235.34,25347.949999999997,-5733.726000000001
2026-01-06 05:15:00,3235.34,3242.61,3233.23,3239.01,7012.479,2857.312,4155.167,-1297.8550000000005,0.6876527465683088,80077.586,7012.479,1.0,0.1134347549252901,3.6700000000000728,3250.0,3235.34,4344.652,-5733.726000000001
2026-01-06 05:20:00,3239.01,3243.65,3237.0,3238.86,4752.859,1799.404,2953.455,-1154.051,0.6092539077114769,78923.53499999999,4752.859,1.0,-0.004631044671055129,-0.15000000000009095,3250.0,3235.34,4344.652,-5733.726000000001
