short_time,short_price,close_time,close_price,is_closed,pnl,pnl_pct,is_win,duration_minutes
2026-01-06 01:20:00,3163.84,2026-01-06 01:40:00,3186.03,True,-22.190000000000055,-0.7013629007788021,False,20.0
2026-01-06 02:20:00,3196.97,2026-01-06 02:25:00,3199.77,True,-2.800000000000182,-0.08758293008693176,False,5.0
2026-01-06 05:20:00,3238.86,2026-01-06 05:35:00,3238.54,True,0.3200000000001637,0.009880019513043592,True,15.0
2026-01-06 05:25:00,3231.49,2026-01-06 05:35:00,3238.54,True,-7.050000000000182,-0.21816561400469078,False,10.0
2026-01-06 05:55:00,3236.89,2026-01-06 06:05:00,3235.62,True,1.2699999999999818,0.03923519180447843,True,10.0
2026-01-06 06:00:00,3234.16,2026-01-06 06:05:00,3235.62,True,-1.4600000000000364,-0.045143097434883754,False,5.0
2026-01-06 06:45:00,3240.75,2026-01-06 07:45:00,3230.5,True,10.25,0.31628481061482683,True,60.0
2026-01-06 06:50:00,3237.8,2026-01-06 07:45:00,3230.5,True,7.300000000000182,0.22546173327568664,True,55.0
2026-01-06 07:30:00,3229.76,2026-01-06 07:45:00,3230.5,True,-0.7399999999997817,-0.022911919151880688,False,15.0
2026-01-06 07:35:00,3226.0,2026-01-06 07:45:00,3230.5,True,-4.5,-0.13949163050216987,False,10.0
2026-01-06 07:55:00,3223.48,2026-01-06 08:50:00,3212.55,True,10.929999999999836,0.33907454055864583,True,55.0
2026-01-06 08:10:00,3215.56,2026-01-06 08:50:00,3212.55,True,3.0099999999997635,0.09360733433678002,True,40.0
2026-01-06 11:50:00,3222.32,2026-01-06 12:55:00,3221.31,True,1.0100000000002183,0.03134387646168656,True,65.0
2026-01-06 12:10:00,3229.99,2026-01-06 12:55:00,3221.31,True,8.679999999999836,0.26873148214080655,True,45.0
2026-01-06 12:15:00,3228.22,2026-01-06 12:55:00,3221.31,True,6.9099999999998545,0.2140498479037939,True,40.0
2026-01-06 12:20:00,3226.41,2026-01-06 12:55:00,3221.31,True,5.099999999999909,0.1580704250234753,True,35.0
2026-01-06 12:25:00,3225.6,2026-01-06 12:55:00,3221.31,True,4.289999999999964,0.13299851190476078,True,30.0
2026-01-06 12:40:00,3223.63,2026-01-06 12:55:00,3221.31,True,2.3200000000001637,0.07196855718553816,True,15.0
2026-01-06 14:55:00,3239.47,2026-01-06 16:50:00,3219.89,True,19.579999999999927,0.6044198588040615,True,115.0
2026-01-06 15:00:00,3235.16,2026-01-06 16:50:00,3219.89,True,15.269999999999982,0.47200138478467785,True,110.0
2026-01-06 17:25:00,3223.44,2026-01-06 17:45:00,3221.64,True,1.800000000000182,0.05584096493187967,True,20.0
2026-01-06 17:30:00,3219.75,2026-01-06 17:45:00,3221.64,True,-1.8899999999998727,-0.05870020964360192,False,15.0
2026-01-06 17:35:00,3218.2,2026-01-06 17:45:00,3221.64,True,-3.4400000000000546,-0.1068920514573381,False,10.0
2026-01-06 18:10:00,3226.09,2026-01-06 18:45:00,3228.26,True,-2.1700000000000728,-0.06726408748671217,False,35.0
2026-01-06 18:55:00,3227.01,2026-01-06 19:00:00,3233.61,True,-6.599999999999909,-0.20452369221043346,False,5.0
2026-01-06 19:45:00,3239.47,2026-01-06 21:05:00,3234.56,True,4.9099999999998545,0.15156800340796042,True,80.0
2026-01-06 19:50:00,3235.8,2026-01-06 21:05:00,3234.56,True,1.2400000000002365,0.03832128067248397,True,75.0
2026-01-06 19:55:00,3236.06,2026-01-06 21:05:00,3234.56,True,1.5,0.04635266342404035,True,70.0
2026-01-06 20:15:00,3239.36,2026-01-06 21:05:00,3234.56,True,4.800000000000182,0.14817741776153875,True,50.0
2026-01-06 20:20:00,3239.92,2026-01-06 21:05:00,3234.56,True,5.360000000000127,0.16543618360947576,True,45.0
2026-01-06 20:35:00,3236.01,2026-01-06 21:05:00,3234.56,True,1.4500000000002728,0.04480826697075326,True,30.0
2026-01-06 23:15:00,3288.61,2026-01-06 23:55:00,3270.99,True,17.620000000000346,0.5357886766749582,True,40.0
2026-01-07 00:10:00,3266.87,2026-01-07 00:50:00,3247.85,True,19.019999999999982,0.5822086584406475,True,40.0
2026-01-07 04:45:00,3245.51,2026-01-07 05:10:00,3253.58,True,-8.069999999999709,-0.2486512135226731,False,25.0
2026-01-07 04:50:00,3243.98,2026-01-07 05:10:00,3253.58,True,-9.599999999999909,-0.29593277393818423,False,20.0
2026-01-07 05:25:00,3281.55,2026-01-07 05:40:00,3289.58,True,-8.029999999999745,-0.2447014368210067,False,15.0
2026-01-07 05:50:00,3278.41,2026-01-07 06:00:00,3283.3,True,-4.890000000000327,-0.1491576709441567,False,10.0
