ts,open,high,low,close,vol_5m,vol_usdt_5m,buy_vol,sell_vol,ratio,price_change,price_change_pct,net_taker,total_taker,buy_sell_ratio,vol_taker_ratio,taker_dominance,buy_sell_imbalance
2026-01-06 00:00:00,3194.17,3198.5,3190.1,3197.33,14176.885,45294828.31466,7581.142,6595.743,1.1494,3.1599999999998545,0.0989,985.3989999999994,14176.885,1.1494,1.0,1.0,0.0695
2026-01-06 00:05:00,3197.34,3201.47,3184.13,3187.62,30928.553,98654175.91279,12855.536,18073.017,0.7113,-9.720000000000255,-0.304,-5217.481,30928.553,0.7113,1.0,1.0,-0.1687
2026-01-06 00:10:00,3187.63,3191.35,3184.45,3188.2,13229.091,42183132.38254,6446.764,6782.327,0.9505,0.569999999999709,0.0179,-335.5630000000001,13229.091,0.9505,1.0,1.0,-0.0254
2026-01-06 00:15:00,3188.21,3190.2,3184.4,3189.53,10441.483,33274030.223350003,5433.306,5008.177,1.0849,1.3200000000001637,0.0414,425.1289999999999,10441.483,1.0849,1.0,1.0,0.0407
2026-01-06 00:20:00,3189.53,3193.0,3170.44,3178.51,37184.625,118210891.81718999,14568.372,22616.253,0.6442,-11.019999999999982,-0.3455,-8047.881000000001,37184.625,0.6442,1.0,1.0,-0.2164
2026-01-06 00:25:00,3178.51,3185.0,3177.14,3178.89,10678.14,33967640.533700004,4901.51,5776.63,0.8485,0.3799999999996544,0.012,-875.1199999999999,10678.14,0.8485,1.0,1.0,-0.082
2026-01-06 00:30:00,3178.89,3183.0,3176.51,3181.34,11249.591,35777610.00458,6781.322,4468.269,1.5177,2.450000000000273,0.0771,2313.053,11249.591,1.5177,1.0,1.0,0.2056
2026-01-06 00:35:00,3181.34,3185.4,3178.0,3179.24,8940.181,28447979.02595,4441.9,4498.281,0.9875,-2.100000000000364,-0.066,-56.38100000000031,8940.181,0.9875,1.0,1.0,-0.0063
2026-01-06 00:40:00,3179.24,3184.0,3177.2,3178.04,6764.629000000001,21512537.94221,2825.548,3939.081,0.7173,-1.199999999999818,-0.0377,-1113.5330000000004,6764.629,0.7173,1.0,1.0,-0.1646
2026-01-06 00:45:00,3178.05,3180.07,3174.07,3178.33,11815.021999999999,37542513.158870004,7249.79,4565.232,1.588,0.27999999999974534,0.0088,2684.558,11815.022,1.588,1.0,1.0,0.2272
2026-01-06 00:50:00,3178.32,3184.8,3177.2,3181.43,11586.939999999999,36870078.90394,6297.264,5289.676,1.1905,3.1099999999996726,0.0979,1007.5879999999997,11586.94,1.1905,1.0,1.0,0.087
2026-01-06 00:55:00,3181.43,3183.29,3178.57,3182.39,3269.516,10401091.93815,2090.909,1178.607,1.7741,0.9600000000000364,0.0302,912.3020000000001,3269.516,1.7741,1.0,1.0,0.279
2026-01-06 01:00:00,3182.4,3186.25,3179.0,3184.19,7429.564,23652802.77733,4407.467,3022.097,1.4584,1.7899999999999636,0.0562,1385.3699999999994,7429.564,1.4584,1.0,1.0,0.1865
2026-01-06 01:05:00,3184.19,3184.19,3178.95,3178.98,3840.183,12217606.66951,2089.282,1750.901,1.1933,-5.210000000000036,-0.1636,338.3810000000001,3840.183,1.1933,1.0,1.0,0.0881
2026-01-06 01:10:00,3178.99,3183.91,3178.57,3181.41,3438.552,10937503.32718,1687.517,1751.035,0.9637,2.4200000000000728,0.0761,-63.51800000000003,3438.552,0.9637,1.0,1.0,-0.0185
2026-01-06 01:15:00,3181.41,3182.86,3178.0,3178.87,5313.2609999999995,16892027.97312,1972.085,3341.176,0.5902,-2.5399999999999636,-0.0798,-1369.091,5313.261,0.5902,1.0,1.0,-0.2577
2026-01-06 01:20:00,3178.86,3179.79,3158.12,3163.84,48013.114,152017928.82441,19292.741,28720.373,0.6717,-15.019999999999982,-0.4725,-9427.631999999998,48013.114,0.6717,1.0,1.0,-0.1964
2026-01-06 01:25:00,3163.8,3165.64,3157.39,3165.0,17951.172,56753848.71045,9611.069,8340.103,1.1524,1.199999999999818,0.0379,1270.9660000000003,17951.172,1.1524,1.0,1.0,0.0708
2026-01-06 01:30:00,3164.99,3173.92,3164.77,3173.29,14775.993,46844340.61538,7333.352,7442.641,0.9853,8.300000000000182,0.2622,-109.28899999999976,14775.992999999999,0.9853,1.0,1.0,-0.0074
2026-01-06 01:35:00,3173.29,3181.39,3172.9,3179.3,15482.886999999999,49185741.14384,9251.053,6231.834,1.4845,6.010000000000218,0.1894,3019.219,15482.886999999999,1.4845,1.0,1.0,0.195
2026-01-06 01:40:00,3179.3,3189.33,3179.2,3186.03,31333.67,99819117.52333,18569.462,12764.208,1.4548,6.730000000000018,0.2117,5805.253999999999,31333.67,1.4548,1.0,1.0,0.1853
2026-01-06 01:45:00,3186.02,3194.97,3185.89,3191.44,23139.29,73839838.84846,13678.163,9461.127,1.4457,5.420000000000073,0.1701,4217.036,23139.29,1.4457,1.0,1.0,0.1822
2026-01-06 01:50:00,3191.44,3215.9,3191.44,3208.43,85674.081,274596551.06939,59864.752,25809.329,2.3195,16.98999999999978,0.5324,34055.422999999995,85674.081,2.3195,1.0,1.0,0.3975
2026-01-06 01:55:00,3208.44,3228.95,3208.0,3211.95,77944.034,250755924.56386,44904.324,33039.71,1.3591,3.5099999999997635,0.1094,11864.614000000001,77944.034,1.3591,1.0,1.0,0.1522
2026-01-06 02:00:00,3211.95,3217.92,3203.56,3207.21,29491.569,94680532.70382,12615.302,16876.267,0.7475,-4.739999999999782,-0.1476,-4260.965,29491.569,0.7475,1.0,1.0,-0.1445
2026-01-06 02:05:00,3207.21,3209.83,3201.25,3201.25,15734.958999999999,50429297.133940004,8914.404,6820.555,1.307,-5.960000000000036,-0.1858,2093.849,15734.959,1.307,1.0,1.0,0.1331
2026-01-06 02:10:00,3201.25,3209.5,3200.97,3209.49,8971.305,28745588.83797,6138.674,2832.631,2.1671,8.239999999999782,0.2574,3306.043,8971.305,2.1671,1.0,1.0,0.3685
2026-01-06 02:15:00,3209.5,3210.43,3193.68,3196.66,23863.272,76390409.8511,9667.3,14195.972,0.681,-12.840000000000146,-0.4001,-4528.6720000000005,23863.271999999997,0.681,1.0,1.0,-0.1898
2026-01-06 02:20:00,3196.67,3198.57,3185.18,3196.97,46632.21,148828286.56443,12984.534,33647.676,0.3859,0.29999999999972715,0.0094,-20663.142,46632.21,0.3859,1.0,1.0,-0.4431
2026-01-06 02:25:00,3196.97,3203.31,3196.96,3199.77,16342.907000000001,52293513.07637,9629.588,6713.319,1.4344,2.800000000000182,0.0876,2916.2689999999993,16342.907,1.4344,1.0,1.0,0.1784
2026-01-06 02:30:00,3199.76,3205.5,3198.45,3200.2,7184.594,22999137.15342,4075.46,3109.134,1.3108,0.4399999999995998,0.0138,966.326,7184.594,1.3108,1.0,1.0,0.1345
2026-01-06 02:35:00,3200.2,3201.0,3190.41,3193.16,22165.646,70819532.82519001,4385.159,17780.487,0.2466,-7.039999999999964,-0.22,-13395.328000000001,22165.646,0.2466,1.0,1.0,-0.6043
2026-01-06 02:40:00,3193.17,3201.0,3193.01,3200.4,4562.835,14593573.4476,2793.501,1769.334,1.5788,7.230000000000018,0.2264,1024.1670000000001,4562.835,1.5788,1.0,1.0,0.2245
2026-01-06 02:45:00,3200.4,3208.33,3199.57,3207.76,9803.805,31421558.53655,5332.344,4471.461,1.1925,7.360000000000127,0.23,860.8829999999998,9803.805,1.1925,1.0,1.0,0.0878
2026-01-06 02:50:00,3207.76,3217.83,3204.58,3216.71,21472.985,68986303.35539,15206.018,6266.967,2.4264,8.949999999999818,0.279,8939.051,21472.985,2.4264,1.0,1.0,0.4163
2026-01-06 02:55:00,3216.71,3228.0,3214.97,3226.65,33307.507,107296360.61277,21303.846,12003.661,1.7748,9.940000000000055,0.309,9300.185000000001,33307.507,1.7748,1.0,1.0,0.2792
2026-01-06 03:00:00,3226.65,3227.42,3216.6,3218.03,21467.653,69136661.21368,7045.798,14421.855,0.4886,-8.61999999999989,-0.2672,-7376.057,21467.653,0.4886,1.0,1.0,-0.3436
2026-01-06 03:05:00,3218.03,3221.55,3213.8,3221.12,11438.985999999999,36802445.909889996,5096.61,6342.376,0.8036,3.0899999999996908,0.096,-1245.7660000000005,11438.986,0.8036,1.0,1.0,-0.1089
2026-01-06 03:10:00,3221.12,3224.15,3219.08,3219.59,6446.992,20770316.59226,3252.581,3194.411,1.0182,-1.5299999999997453,-0.0475,58.17000000000007,6446.992,1.0182,1.0,1.0,0.009
2026-01-06 03:15:00,3219.6,3224.01,3214.08,3220.4,9346.929,30078264.01592,4453.738,4893.191,0.9102,0.8000000000001819,0.0248,-439.4529999999995,9346.929,0.9102,1.0,1.0,-0.047
2026-01-06 03:20:00,3220.41,3225.0,3218.25,3219.1,6461.468,20820637.248519998,3235.986,3225.482,1.0033,-1.3099999999999454,-0.0407,10.503999999999905,6461.468,1.0033,1.0,1.0,0.0016
2026-01-06 03:25:00,3219.1,3224.86,3217.54,3221.64,6250.341,20137010.19464,3187.606,3062.735,1.0408,2.5399999999999636,0.0789,124.8710000000001,6250.341,1.0408,1.0,1.0,0.02
